None,Normalize,PCA,Transform,PCA+Transform,PCA+Transform+Normalize
3.644031593300159355e-01,3.644031593300159355e-01,3.644031593300159355e-01,3.644031593300159355e-01,3.644031593300159355e-01,3.644031593300159355e-01
5.475413388336072984e+01,5.475413388336072984e+01,5.475413388336072984e+01,5.475413388336072984e+01,5.475413388336072984e+01,5.475413388336072984e+01
5.764533157088568283e-01,5.764533157088568283e-01,5.764533157088568283e-01,5.764533157088568283e-01,5.764533157088568283e-01,5.764533157088568283e-01
