None,Normalize,PCA,Transform,PCA+Transform,PCA+Transform+Normalize
4.205804739920691593e-01,4.171788027838127522e-01,4.171388250134632769e-01,4.253328409555713896e-01,4.159653354071888853e-01,4.160927527344179810e-01
2.107492132831328036e+02,2.107238483776276610e+02,2.102896951743977070e+02,2.105556513370756591e+02,2.110094392620211750e+02,2.110100242400516493e+02
8.923546236358351758e-01,9.103839370959008193e-01,9.070809368576080445e-01,8.854420039663110087e-01,9.149352683097812244e-01,9.152988831182384821e-01
