None,Normalize,PCA,Transform,PCA+Transform,PCA+Transform+Normalize
3.585044015258316286e-01,3.585044015258316286e-01,3.585044015258316286e-01,3.585044015258316286e-01,3.585044015258316286e-01,3.585044015258316286e-01
1.885231794769108546e+02,1.885231794769108546e+02,1.885231794769108546e+02,1.885231794769108546e+02,1.885231794769108546e+02,1.885231794769108546e+02
9.529833682885410218e-01,9.529833682885410218e-01,9.529833682885410218e-01,9.529833682885410218e-01,9.529833682885410218e-01,9.529833682885410218e-01
